atr_period,k_atr,uptail_ratio,previous_weight,return_pct,sharpe,trades
15,1.8,0.6,0.1,4.740479999999894,3.3667034207710342,348
15,1.8,0.6,0.2,4.709951999999844,3.366536391463633,337
15,1.8,0.6,0.3,4.704389999999941,3.5167998970466696,326
15,1.8,0.6,0.4,5.48686599999995,3.9372609102554748,301
15,1.8,0.6,0.5,5.0385139999998945,3.9204035620696835,281
15,1.8,0.7,0.1,4.600159999999887,3.141163347947867,357
15,1.8,0.7,0.2,4.610694999999949,3.16525789800652,346
15,1.8,0.7,0.3,4.614173999999956,3.2982631127617794,335
15,1.8,0.7,0.4,5.292861000000004,3.690238938571381,310
15,1.8,0.7,0.5,5.366145000000019,3.806441174234548,291
15,1.8,0.8,0.1,4.716784999999916,3.2165383469218023,361
15,1.8,0.8,0.2,4.722122999999905,3.238162601926635,350
15,1.8,0.8,0.3,4.686314999999929,3.371393537574696,339
15,1.8,0.8,0.4,5.412646999999997,3.7676224263594342,314
15,1.8,0.8,0.5,5.465732999999978,3.9007217955831988,295
15,2.0,0.6,0.1,4.145716999999858,3.1129664203303813,213
15,2.0,0.6,0.2,3.987053999999858,2.9894907620525726,209
15,2.0,0.6,0.3,3.6282049999998267,2.911390768083795,202
15,2.0,0.6,0.4,4.223201999999859,3.4013394183559607,186
15,2.0,0.6,0.5,3.6800379999998842,3.3484232273263843,175
15,2.0,0.7,0.1,4.000381999999867,2.928449906070144,218
15,2.0,0.7,0.2,3.8715669999998354,2.830361736998073,214
15,2.0,0.7,0.3,3.5091379999998464,2.7374345365263317,207
15,2.0,0.7,0.4,4.111149999999878,3.2143867167454268,191
15,2.0,0.7,0.5,4.033053999999887,3.3611968583246146,181
15,2.0,0.8,0.1,4.1536979999998875,3.040954025966808,221
15,2.0,0.8,0.2,4.021127999999852,2.9394602128701446,217
15,2.0,0.8,0.3,3.6592019999998304,2.8548907422590113,210
15,2.0,0.8,0.4,4.271014999999854,3.340043284264926,194
15,2.0,0.8,0.5,4.207796999999889,3.5012760286346185,184
15,2.2,0.6,0.1,2.6722169999999603,2.296722734046971,143
15,2.2,0.6,0.2,2.505662999999957,2.1619443108178595,140
15,2.2,0.6,0.3,2.1401659999999683,2.0043391624188955,134
15,2.2,0.6,0.4,2.334052999999956,2.2011134833722963,125
15,2.2,0.6,0.5,1.9430449999999402,1.97770195340278,117
15,2.2,0.7,0.1,2.806650999999969,2.2990702811201937,145
15,2.2,0.7,0.2,2.61951499999997,2.168830052835514,142
15,2.2,0.7,0.3,2.2562829999999665,2.0150602099252084,136
15,2.2,0.7,0.4,2.4449029999999623,2.1976742513254197,127
15,2.2,0.7,0.5,2.497938999999955,2.288930693453452,120
15,2.2,0.8,0.1,2.965824999999968,2.414576264646978,147
15,2.2,0.8,0.2,2.7786889999999693,2.2860980722727233,144
15,2.2,0.8,0.3,2.4154569999999365,2.14181036563168,138
15,2.2,0.8,0.4,2.6040769999999323,2.32443167531102,129
15,2.2,0.8,0.5,2.657112999999925,2.4175454936547567,122
20,1.8,0.6,0.1,5.148671999999904,3.3587708802568295,377
20,1.8,0.6,0.2,5.163116999999882,3.437613624259334,365
20,1.8,0.6,0.3,5.277165999999895,3.6807914616879867,352
20,1.8,0.6,0.4,6.123770999999978,4.095042341834373,327
20,1.8,0.6,0.5,6.104876999999993,4.2608585845447,307
20,1.8,0.7,0.1,5.098356999999902,3.226476902594691,386
20,1.8,0.7,0.2,5.054691999999923,3.2839547023584683,374
20,1.8,0.7,0.3,5.227545999999944,3.520988143304867,361
20,1.8,0.7,0.4,6.04048999999999,3.9426749547278015,336
20,1.8,0.7,0.5,6.169763999999981,4.099233947621076,316
20,1.8,0.8,0.1,5.250998999999938,3.333598660671256,390
20,1.8,0.8,0.2,5.231280999999901,3.4052665948072005,378
20,1.8,0.8,0.3,5.353380999999921,3.635875789030903,365
20,1.8,0.8,0.4,6.211674000000028,4.0620130722021806,340
20,1.8,0.8,0.5,6.337719999999987,4.235262440630253,321
20,2.0,0.6,0.1,5.97268099999991,4.499301605384896,231
20,2.0,0.6,0.2,5.872417999999903,4.395835837009264,226
20,2.0,0.6,0.3,5.482299999999974,4.365800494469956,219
20,2.0,0.6,0.4,6.1255659999999335,4.659689111247655,205
20,2.0,0.6,0.5,5.956928999999916,4.758085841520046,192
20,2.0,0.7,0.1,5.893702999999906,4.271033932296104,236
20,2.0,0.7,0.2,5.749985999999874,4.172544438556009,231
20,2.0,0.7,0.3,5.377479999999909,4.130176820188396,224
20,2.0,0.7,0.4,6.044696999999927,4.429184401553563,210
20,2.0,0.7,0.5,6.3071689999998775,4.682018454104092,198
20,2.0,0.8,0.1,6.061122999999862,4.407421256873945,239
20,2.0,0.8,0.2,5.911338999999847,4.304228381050892,234
20,2.0,0.8,0.3,5.537292999999903,4.270545849158126,227
20,2.0,0.8,0.4,6.198571999999928,4.559383068119421,213
20,2.0,0.8,0.5,6.467071999999899,4.822050918199609,201
20,2.2,0.6,0.1,3.3006979999998873,2.699208052062601,160
20,2.2,0.6,0.2,3.112619999999879,2.567641372172883,157
20,2.2,0.6,0.3,2.7446329999999,2.443890195104995,152
20,2.2,0.6,0.4,2.9634859999998735,2.6357194952200316,143
20,2.2,0.6,0.5,2.5921979999999456,2.4725007370724907,134
20,2.2,0.7,0.1,3.371592999999906,2.6478313827299065,164
20,2.2,0.7,0.2,3.190226999999926,2.5311126884239106,161
20,2.2,0.7,0.3,2.8244909999999073,2.405275225023363,156
20,2.2,0.7,0.4,3.03056399999994,2.577350657394423,147
20,2.2,0.7,0.5,3.1231309999999355,2.7049112804020843,139
20,2.2,0.8,0.1,3.5315789999999105,2.7623401625984383,166
20,2.2,0.8,0.2,3.3466509999999254,2.6441290718360118,163
20,2.2,0.8,0.3,2.983664999999877,2.528976722445924,158
20,2.2,0.8,0.4,3.1897379999999393,2.700788482473167,149
20,2.2,0.8,0.5,3.2823049999999347,2.8304738285770394,141
25,1.8,0.6,0.1,6.760784999999858,4.188436158844765,394
25,1.8,0.6,0.2,6.6100119999999,4.210883822766992,382
25,1.8,0.6,0.3,6.570921999999918,4.402233823067886,370
25,1.8,0.6,0.4,7.1930060000000084,4.7237564864264945,345
25,1.8,0.6,0.5,7.181594999999957,4.849418245047694,325
25,1.8,0.7,0.1,6.881519999999989,4.134058035262307,403
25,1.8,0.7,0.2,6.72031799999997,4.155461356197191,391
25,1.8,0.7,0.3,6.671897000000011,4.324830015185733,379
25,1.8,0.7,0.4,7.294685000000041,4.669760544052362,354
25,1.8,0.7,0.5,7.422412999999986,4.7942419183502345,334
25,1.8,0.8,0.1,6.898453000000009,4.134832889581624,408
25,1.8,0.8,0.2,6.73768399999998,4.157283447895797,396
25,1.8,0.8,0.3,6.688478000000017,4.325945375231242,384
25,1.8,0.8,0.4,7.296269000000073,4.665625582608749,359
25,1.8,0.8,0.5,7.415484000000011,4.783584518721577,340
25,2.0,0.6,0.1,6.490798999999912,4.499038328607231,257
25,2.0,0.6,0.2,6.313404999999897,4.475686439234282,248
25,2.0,0.6,0.3,6.037100999999908,4.463631198852216,240
25,2.0,0.6,0.4,6.7393239999999786,4.786423084531579,225
25,2.0,0.6,0.5,6.688698999999964,4.947244861663488,212
25,2.0,0.7,0.1,6.415343999999982,4.2946726749386235,262
25,2.0,0.7,0.2,6.238991999999897,4.278144193875181,253
25,2.0,0.7,0.3,5.96058799999993,4.2522788160828275,245
25,2.0,0.7,0.4,6.6498579999999645,4.570681827220718,230
25,2.0,0.7,0.5,6.943053999999975,4.826858774342831,217
25,2.0,0.8,0.1,6.564636999999989,4.427302299031729,265
25,2.0,0.8,0.2,6.400609999999885,4.4179578116339915,256
25,2.0,0.8,0.3,6.11446299999996,4.391928611295175,248
25,2.0,0.8,0.4,6.804594999999958,4.708026710414029,233
25,2.0,0.8,0.5,7.099734999999987,4.9709503923635046,220
25,2.2,0.6,0.1,3.2245609999998557,2.5246558520931193,174
25,2.2,0.6,0.2,3.044928999999829,2.40173215683288,171
25,2.2,0.6,0.3,2.6762029999998633,2.2734711996756802,166
25,2.2,0.6,0.4,3.2716059999998834,2.71257944965752,153
25,2.2,0.6,0.5,3.4445369999998947,3.055196902477883,142
25,2.2,0.7,0.1,3.306083999999872,2.4860579333594415,178
25,2.2,0.7,0.2,3.124481999999887,2.3709521864454257,175
25,2.2,0.7,0.3,2.750119999999879,2.236685553453434,170
25,2.2,0.7,0.4,3.380957999999897,2.6750189538672853,157
25,2.2,0.7,0.5,3.9782039999999395,3.2124626717001186,147
25,2.2,0.8,0.1,3.4652579999998703,2.589937144884958,180
25,2.2,0.8,0.2,3.289844999999899,2.4799675320020684,177
25,2.2,0.8,0.3,2.906543999999849,2.3473149281249115,172
25,2.2,0.8,0.4,3.5463209999999092,2.7874541038836655,159
25,2.2,0.8,0.5,4.147240999999936,3.3269408220731327,149
